,correlation
lactic.ac.s,0.7643912783469247
dm.s,-0.514833498578571
pH,-0.4482629195541507
mannithol.s,0.41994622006386984
starch.s,-0.419078523711121
propionic.ac.s,-0.3173658476805612
butyric.ac.s,-0.24952869516202458
ethanol.s,0.1534550930678153
ammonia.s,-0.07466503026692671
acetic.ac.s,-0.06873948506884271
