feature,importance
lactic.ac.s,0.7006036182378835
ethanol.s,0.1176116099445867
ammonia.s,0.1034699111676415
pH,0.035641848707867116
acetic.ac.s,0.027790394473567976
butyric.ac.s,0.008402404276302403
mannithol.s,0.0032137771381620227
propionic.ac.s,0.002286813653201996
dm.s,0.0005112214929289852
starch.s,0.0004684009078575569
